prep;extract;submodel;no_submodels;interaction_terms_then_randomize
["std"];ae;lin;100;True
["norm"];ae;lin;100;True
["std"];pca;lin;100;True
["norm"];pca;lin;100;True
["std"];ica;lin;100;True
["norm"];ica;lin;100;True
["std"];rbm;lin;100;True
["norm"];rbm;lin;100;True
["std"];ae;svm;100;True
["norm"];ae;svm;100;True
["std"];pca;svm;100;True
["norm"];pca;svm;100;True
["std"];ica;svm;100;True
["norm"];ica;svm;100;True
["std"];rbm;svm;100;True
["norm"];rbm;svm;100;True
["std"];tsne;lin;100;True
["std"];ae;elastic;100;True
["norm"];ae;elastic;100;True
["std"];pca;elastic;100;True
["norm"];pca;elastic;100;True
["std"];ica;elastic;100;True
["norm"];ica;elastic;100;True
["std"];rbm;elastic;100;True
["norm"];rbm;elastic;100;True
["std"];ae;lasso;100;True
["norm"];ae;lasso;100;True
["std"];pca;lasso;100;True
["norm"];pca;lasso;100;True
["std"];ica;lasso;100;True
["norm"];ica;lasso;100;True
["std"];rbm;lasso;100;True
["norm"];rbm;lasso;100;True
["std"];tsne;elastic;100;True
["norm"];tsne;elastic;100;True
["norm"];tsne;lin;100;True
["std"];tsne;svm;100;True
["norm"];tsne;svm;100;True
["std"];tsne;lin;100;True
["norm"];tsne;lin;100;True
["norm"];nmf;lin;100;True
["norm"];nmf;svm;100;True
["norm"];nmf;elastic;100;True
["norm"];nmf;lasso;100;True
